Customer ID,last_purchase,frequency,monetary,recency,R,F,M,RFM_score,RFM_total,Segment
12346,2011-01-18 10:01:00,12,77556.46,326,2,4,4,244,10,Cannot Lose
12608,2010-10-31 10:49:00,1,415.79,405,1,1,2,112,4,Lost
12745,2010-08-10 10:14:00,2,723.85,487,1,2,2,122,5,Lost
12746,2010-06-17 10:41:00,1,254.55,541,1,1,1,111,3,Lost
12747,2011-12-07 14:34:00,26,9276.539999999999,2,4,4,4,444,12,Champion
12748,2011-12-09 12:20:00,336,56599.39,1,4,4,4,444,12,Champion
12749,2011-12-06 09:56:00,9,6897.36,4,4,4,4,444,12,Champion
12777,2010-09-08 11:35:00,1,519.45,458,1,1,2,112,4,Lost
12819,2010-09-07 15:20:00,1,540.52,458,1,1,2,112,4,Lost
12820,2011-12-06 15:12:00,11,2689.52,3,4,4,4,444,12,Champion
12821,2011-05-09 15:51:00,2,220.8,214,2,2,1,221,5,Hibernating
12822,2011-09-30 10:04:00,2,948.88,71,3,2,3,323,8,Potential Loyal
12823,2011-09-26 07:35:00,18,6501.5,75,3,4,4,344,11,Loyal
12824,2011-10-11 12:49:00,1,397.12,60,3,1,2,312,6,Lost
12825,2010-07-06 13:56:00,2,518.63,521,1,2,2,122,5,Lost
12826,2011-12-07 10:25:00,12,2955.75,3,4,4,4,444,12,Champion
12827,2011-12-04 12:17:00,3,430.15000000000003,6,4,2,2,422,8,Potential Loyal
12828,2011-12-07 08:45:00,6,1018.71,3,4,3,3,433,10,Champion
12829,2011-01-07 11:13:00,3,385.3,337,2,2,2,222,6,Hibernating
12830,2011-11-02 11:54:00,6,6814.64,38,3,3,4,334,10,Loyal
12831,2011-03-22 13:02:00,3,451.11,262,2,2,2,222,6,Hibernating
12832,2011-11-07 13:30:00,2,383.03,32,3,2,2,322,7,Potential Loyal
12833,2011-07-17 13:46:00,1,417.38,145,2,1,2,212,5,Hibernating
12834,2011-03-02 09:49:00,1,312.38,283,2,1,1,211,4,Hibernating
12835,2010-10-08 10:59:00,41,6043.31,428,1,4,4,144,9,Cannot Lose
12836,2011-10-11 15:10:00,15,6585.62,59,3,4,4,344,11,Loyal
12837,2011-06-19 16:07:00,2,688.41,173,2,2,2,222,6,Hibernating
12838,2011-11-06 12:20:00,10,3398.48,34,3,4,4,344,11,Loyal
12839,2011-12-07 12:33:00,26,10071.73,3,4,4,4,444,12,Champion
12840,2011-07-19 09:29:00,7,4041.97,144,2,3,4,234,9,Cannot Lose
12841,2011-12-05 11:13:00,40,7540.68,5,4,4,4,444,12,Champion
12842,2011-09-30 15:33:00,4,1917.99,70,3,3,3,333,9,Loyal
12843,2011-10-05 12:09:00,30,6588.41,66,3,4,4,344,11,Loyal
12844,2011-11-10 13:31:00,4,648.6,29,3,3,2,332,8,Loyal
12845,2011-03-17 13:34:00,4,354.09,267,2,3,2,232,7,At Risk
12846,2010-01-26 16:29:00,1,15.58,682,1,1,1,111,3,Lost
12847,2011-11-17 13:16:00,2,1636.8999999999999,22,4,2,3,423,9,Potential Loyal
12848,2010-02-02 12:45:00,1,208.0,676,1,1,1,111,3,Lost
12849,2011-11-08 13:41:00,6,3090.56,31,3,3,4,334,10,Loyal
12850,2010-09-20 12:26:00,1,330.0,446,1,1,1,111,3,Lost
12851,2011-09-04 12:41:00,2,284.13,97,3,2,1,321,6,Potential Loyal
12852,2011-02-18 08:47:00,1,311.55,295,2,1,1,211,4,Hibernating
12853,2011-07-28 11:29:00,11,3907.5,135,2,4,4,244,10,Cannot Lose
12854,2011-09-22 12:15:00,7,2994.02,79,3,3,4,334,10,Loyal
12855,2010-12-02 09:37:00,4,650.9399999999999,373,2,3,2,232,7,At Risk
12856,2011-12-02 10:52:00,6,2179.93,8,4,3,3,433,10,Champion
12857,2011-05-13 10:20:00,6,3688.0,211,2,3,4,234,9,Cannot Lose
12858,2010-11-21 12:55:00,1,177.92,383,1,1,1,111,3,Lost
12859,2010-09-07 12:20:00,1,575.1,459,1,1,2,112,4,Lost
12860,2010-01-15 15:22:00,1,55.47,693,1,1,1,111,3,Lost
12861,2010-03-30 11:39:00,1,68.25,620,1,1,1,111,3,Lost
12862,2010-10-10 11:47:00,2,1008.3199999999999,426,1,2,3,123,6,Lost
12863,2011-10-18 14:15:00,6,2792.5499999999997,52,3,3,4,334,10,Loyal
12864,2011-07-24 13:03:00,2,299.57,138,2,2,1,221,5,Hibernating
12867,2011-11-13 15:30:00,13,7913.29,26,4,4,4,444,12,Champion
12868,2011-06-07 10:42:00,8,2247.06,186,2,4,4,244,10,Cannot Lose
12869,2010-01-27 12:10:00,1,337.66999999999996,682,1,1,2,112,4,Lost
12870,2010-11-29 13:42:00,3,1676.95,375,2,2,3,223,7,Hibernating
12871,2011-09-16 15:07:00,3,744.02,84,3,2,2,322,7,Potential Loyal
12872,2011-01-17 10:52:00,12,3685.4900000000002,327,2,4,4,244,10,Cannot Lose
12873,2011-03-02 14:58:00,3,2027.3,282,2,2,3,223,7,Hibernating
12875,2011-07-19 15:30:00,5,1356.99,143,2,3,3,233,8,Cannot Lose
12877,2011-12-06 10:30:00,20,2955.17,4,4,4,4,444,12,Champion
12878,2011-04-17 13:07:00,2,854.99,236,2,2,3,223,7,Hibernating
12879,2011-10-26 12:24:00,3,573.22,45,3,2,2,322,7,Potential Loyal
12880,2010-11-23 10:50:00,2,640.13,382,2,2,2,222,6,Hibernating
12881,2011-03-09 11:44:00,1,298.0,276,2,1,1,211,4,Hibernating
12882,2011-11-30 16:18:00,2,1463.04,9,4,2,3,423,9,Potential Loyal
12883,2011-11-15 09:32:00,4,703.47,25,4,3,2,432,9,Champion
12884,2011-09-12 13:10:00,1,309.05,88,3,1,1,311,5,Lost
12885,2011-10-07 13:40:00,3,1175.22,63,3,2,3,323,8,Potential Loyal
12886,2011-10-03 10:09:00,2,1378.4,68,3,2,3,323,8,Potential Loyal
12887,2010-11-21 11:18:00,1,222.4,384,1,1,1,111,3,Lost
12888,2011-05-09 16:02:00,2,354.12,214,2,2,2,222,6,Hibernating
12889,2010-11-23 16:08:00,4,385.46000000000004,381,2,3,2,232,7,At Risk
12890,2011-11-15 17:26:00,2,717.27,24,4,2,2,422,8,Potential Loyal
12891,2011-06-07 12:31:00,11,840.5,186,2,4,2,242,8,At Risk
12892,2010-11-08 09:51:00,1,263.38,397,1,1,1,111,3,Lost
12893,2011-11-09 12:34:00,1,188.14,31,3,1,1,311,5,Lost
12894,2010-05-13 14:47:00,1,157.35,575,1,1,1,111,3,Lost
12895,2011-10-28 13:51:00,2,372.8,42,3,2,2,322,7,Potential Loyal
12897,2011-05-19 12:13:00,4,514.25,205,2,3,2,232,7,At Risk
